,id,close_date,rel_vel,orbit_id,orbit_wt,e,a,inclination,asc_node,orbital_period,perihelion_distance,perihelion_arg,mean_anomaly,mean_motion,est_dia
0,3703080,1995-01-01,6.1158343887,17,5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,609.599786407648,0.808258932678493,57.25746987539545,264.8375332988031,0.5905513880204395,0.2058460875
1,3723955,1995-01-01,18.1139850263,21,3,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.8692942066788,0.7181996160227876,313.0919748302692,173.7411119891742,0.8453297875598617,0.23634293085000002
2,2446862,1995-01-08,7.5907111617,22,0,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,643.580228077368,0.950790956866954,248.4150381128607,292.8936537794408,0.5593708201314143,0.3745783022
3,3092506,1995-01-15,11.1738744976,7,6,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.70770087172089,68.74100661777578,0.7002771964497434,0.01424106985
4,3514799,1995-01-15,9.8408310539,25,1,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,495.597820944911,0.9676866361064762,158.2635960713293,135.1421326756292,0.7263954456329549,0.2058460875
5,3671135,1995-01-15,10.8088439585,40,1,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,556.1605558442809,0.5777997876790363,198.1459691510273,354.2373683433312,0.6472950953048102,0.5170619942
6,2495323,1995-01-15,10.8088415879,43,1,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.1459598526758,354.237396160877,0.6472951085146458,0.5170619942
7,2153315,1995-01-22,24.4218839949,22,0,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,502.8087578997973,0.6809045288785588,288.3746511156045,186.7769322776995,0.7159779823718642,0.6216452461499999
8,2162463,1995-01-22,17.373783837,100,0,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,447.8370128477652,0.8727046815850249,353.4223941040977,182.2364315309588,0.803863882779104,1.184520597
9,2306383,1995-01-22,12.8996097219,30,0,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.7659371965322,119.8613823033982,1.201862242530755,0.21554731475
